Pos.,Team,Driver,Time (sec),Lap,Points
1,McLaren,Norris,2.10,14,25
2,AlphaTauri,de Vries,2.28,37,18
3,AlphaTauri,de Vries,2.31,12,
4,Red Bull,Verstappen,2.32,24,15
5,Red Bull,Verstappen,2.33,49,
6,Red Bull,Verstappen,2.38,69,
7,Ferrari,Leclerc,2.40,47,12
8,Williams,Sargeant,2.45,43,10
9,Red Bull,Perez,2.46,50,8
10,Alpine,Gasly,2.54,14,6
11,Aston Martin,Alonso,2.55,44,4
12,AlphaTauri,Tsunoda,2.60,43,2
13,Alpine,Ocon,2.61,14,1
14,Red Bull,Perez,2.66,25,
15,Aston Martin,Stroll,2.69,54,
16,Aston Martin,Stroll,2.72,36,
17,Aston Martin,Alonso,2.74,15,
18,Williams,Albon,2.75,14,
19,Alfa Romeo,Bottas,2.81,40,
20,Mercedes,Russell,2.87,41,
21,Aston Martin,Stroll,2.89,15,
22,Mercedes,Hamilton,2.91,14,
23,Alfa Romeo,Zhou,3.00,38,
24,McLaren,Piastri,3.08,41,
25,Haas,Hulkenberg,3.10,11,
26,Haas,Magnussen,3.10,34,
27,McLaren,Norris,3.12,41,
28,McLaren,Piastri,3.14,14,
29,Williams,Sargeant,3.21,14,
30,Mercedes,Russell,3.29,14,
31,Ferrari,Leclerc,4.46,15,
32,Ferrari,Sainz,4.56,15,
33,Alfa Romeo,Zhou,5.36,8,
34,Haas,Magnussen,6.44,2,
35,Haas,Magnussen,7.15,1,
36,AlphaTauri,Tsunoda,8.47,23,
37,Williams,Albon,8.86,41,
38,Mercedes,Hamilton,8.94,42,
39,Alpine,Gasly,9.25,44,
40,Ferrari,Sainz,9.40,45,
41,AlphaTauri,Tsunoda,10.27,1,
42,McLaren,Piastri,10.61,22,
43,Alpine,Ocon,11.34,40,
44,Alfa Romeo,Bottas,12.44,21,
