Pos.,Team,Driver,Time (sec),Lap,Points
1,Red Bull,Perez,2.30,11,25
2,McLaren,Norris,2.35,9,18
3,Ferrari,Leclerc,2.49,11,15
4,AlphaTauri,Tsunoda,2.55,8,12
5,Alpine,Gasly,2.56,5,10
6,Mercedes,Hamilton,2.68,9,8
7,Alfa Romeo,Bottas,2.68,34,6
8,Alpine,Ocon,2.74,50,4
9,Mercedes,Russell,2.79,11,2
10,Williams,Sargeant,2.81,8,1
11,Alfa Romeo,Bottas,2.86,6,
12,Red Bull,Verstappen,2.92,10,
13,Ferrari,Sainz,2.96,11,
14,McLaren,Piastri,3.02,8,
15,Williams,Albon,3.05,7,
16,Alpine,Gasly,3.40,23,
17,Aston Martin,Stroll,3.57,11,
18,Mercedes,Russell,3.73,49,
19,Alfa Romeo,Bottas,3.87,12,
20,Alfa Romeo,Zhou,4.21,11,
21,Aston Martin,Alonso,4.74,11,
22,Haas,Hulkenberg,6.47,49,
23,Haas,Magnussen,13.12,10,
