Pos.,Team,Driver,Time (sec),Lap,Points
1,Ferrari,Leclerc,2.19,13,25
2,Red Bull,Perez,2.24,29,18
3,AlphaTauri,Tsunoda,2.29,9,15
4,AlphaTauri,Ricciardo,2.35,5,12
5,Red Bull,Verstappen,2.38,30,10
6,Aston Martin,Alonso,2.42,10,8
7,Alpine,Ocon,2.45,6,6
8,AlphaTauri,Tsunoda,2.49,24,
9,Red Bull,Verstappen,2.51,14,
10,AlphaTauri,Ricciardo,2.56,22,
11,Ferrari,Sainz,2.65,7,4
12,Ferrari,Leclerc,2.74,28,
13,Williams,Sargeant,2.75,34,2
14,Mercedes,Hamilton,2.76,12,1
15,Alpine,Ocon,2.76,25,
16,Williams,Albon,2.84,23,
17,Mercedes,Hamilton,2.85,27,
18,Williams,Albon,2.92,33,
19,Mercedes,Russell,2.93,22,
20,Mercedes,Hamilton,2.93,42,
21,Haas,Magnussen,3.02,5,
22,Alfa Romeo,Bottas,3.09,6,
23,Haas,Magnussen,3.11,25,
24,Williams,Sargeant,3.13,8,
25,Red Bull,Perez,3.22,13,
26,Alfa Romeo,Bottas,3.24,24,
27,McLaren,Norris,3.33,17,
28,Aston Martin,Alonso,3.33,29,
29,Alfa Romeo,Zhou,3.42,25,
30,Williams,Sargeant,3.44,24,
31,Alfa Romeo,Zhou,3.88,7,
32,Haas,Hulkenberg,3.99,12,
33,Aston Martin,Stroll,4.36,20,
34,McLaren,Norris,4.38,5,
35,Williams,Albon,4.71,7,
36,Alpine,Gasly,5.01,23,
37,Haas,Hulkenberg,5.11,24,
