Pos.,Team,Driver,Time (sec),Lap,Points
1,Red Bull,Perez,1.98,42,25
2,McLaren,Piastri,2.01,18,18
3,Ferrari,Sainz,2.14,15,15
4,McLaren,Norris,2.15,44,12
5,Ferrari,Leclerc,2.27,43,10
6,McLaren,Norris,2.32,17,
7,AlphaTauri,Tsunoda,2.37,44,8
8,Red Bull,Verstappen,2.38,23,6
9,AlphaTauri,Ricciardo,2.50,18,4
10,Aston Martin,Stroll,2.61,9,2
11,Red Bull,Verstappen,2.64,51,
12,Ferrari,Sainz,2.71,44,
13,Haas,Hulkenberg,2.73,38,1
14,Mercedes,Russell,2.76,46,
15,Red Bull,Perez,2.80,24,
16,Williams,Albon,2.82,8,
17,Mercedes,Hamilton,2.83,49,
18,Mercedes,Hamilton,2.85,16,
19,McLaren,Piastri,2.89,42,
20,Mercedes,Russell,2.91,28,
21,Haas,Magnussen,2.92,41,
22,Williams,Albon,2.94,31,
23,AlphaTauri,Ricciardo,2.95,29,
24,Williams,Sargeant,2.96,34,
25,Alfa Romeo,Bottas,3.07,9,
26,Aston Martin,Stroll,3.26,34,
27,Aston Martin,Alonso,3.42,20,
28,Alfa Romeo,Zhou,3.60,38,
29,Haas,Magnussen,3.75,14,
30,Alfa Romeo,Bottas,3.90,40,
31,Haas,Hulkenberg,3.97,16,
32,Williams,Sargeant,4.58,13,
33,Aston Martin,Alonso,4.71,43,
34,AlphaTauri,Tsunoda,7.37,9,
35,Ferrari,Leclerc,9.46,17,
36,Alfa Romeo,Zhou,9.74,10,
