Pos.,Team,Driver,Time (sec),Lap,Points
1,Ferrari,Sainz,2.21,18,25
2,Red Bull,Perez,2.27,20,18
3,McLaren,Piastri,2.31,5,15
4,Mercedes,Hamilton,2.52,37,12
5,Alpine,Gasly,2.57,15,10
6,Ferrari,Leclerc,2.61,17,8
7,Alpine,Ocon,2.62,39,6
8,Williams,Albon,2.64,22,4
9,Mercedes,Russell,2.71,17,2
10,Aston Martin,Alonso,2.78,24,1
11,Haas,Magnussen,2.79,14,
12,Alfa Romeo,Bottas,2.89,15,
13,Haas,Hulkenberg,2.99,33,
14,Alfa Romeo,Zhou,3.02,31,
15,Aston Martin,Stroll,3.04,42,
16,Red Bull,Verstappen,3.13,45,
17,AlphaTauri,Tsunoda,3.32,36,
18,AlphaTauri,De Vries,3.57,15,
19,McLaren,Norris,4.35,4,
20,Williams,Sargeant,28.71,2,
