Pos.,Team,Driver,Time (sec),Lap,Points
1,Red Bull,Perez,2.15,53,25
2,Ferrari,Leclerc,2.24,44,18
3,Red Bull,Verstappen,2.43,55,15
4,Aston Martin,Alonso,2.47,54,12
5,Alpine,Ocon,2.56,54,10
6,Ferrari,Sainz,2.56,55,8
7,Alpine,Gasly,2.58,47,6
8,AlphaTauri,De Vries,2.60,53,4
9,Ferrari,Sainz,2.64,33,
10,Ferrari,Leclerc,2.66,55,
11,Aston Martin,Stroll,2.67,51,2
12,McLaren,Norris,2.76,50,1
13,McLaren,Piastri,2.78,54,
14,Williams,Albon,2.79,18,
15,Williams,Sargeant,2.90,20,
16,Aston Martin,Alonso,3.01,55,
17,Mercedes,Hamilton,3.01,31,
18,Haas,Hulkenberg,3.16,59,
19,Red Bull,Perez,3.21,1,
20,Alfa Romeo,Zhou,3.42,52,
21,Red Bull,Perez,3.44,70,
22,Alfa Romeo,Zhou,3.59,1,
23,Williams,Sargeant,3.72,52,
24,Mercedes,Hamilton,4.23,54,
25,Alpine,Ocon,4.27,32,
26,Williams,Albon,5.30,52,
27,Red Bull,Perez,5.66,57,
28,Williams,Sargeant,6.07,23,
29,McLaren,Norris,6.36,54,
30,Alpine,Gasly,7.79,54,
31,Alfa Romeo,Bottas,8.40,51,
32,Mercedes,Russell,8.85,54,
33,Haas,Hulkenberg,10.91,1,
34,Red Bull,Perez,11.01,34,
35,AlphaTauri,Tsunoda,11.50,53,
36,Haas,Hulkenberg,12.33,54,
37,Haas,Magnussen,24.80,56,
