Pos.,Team,Driver,Time (sec),Lap,Points
1,McLaren,Norris,2.23,33,25
2,Ferrari,Leclerc,2.32,18,18
3,Aston Martin,Stroll,2.35,31,15
4,Alpine,Gasly,2.37,31,12
5,Ferrari,Sainz,2.41,26,10
6,Red Bull,Perez,2.42,28,8
7,McLaren,Piastri,2.42,29,6
8,AlphaTauri,de Vries,2.46,32,4
9,AlphaTauri,de Vries,2.48,27,
10,Ferrari,Leclerc,2.57,32,
11,AlphaTauri,Tsunoda,2.60,14,2
12,Aston Martin,Alonso,2.67,33,1
13,Williams,Sargeant,2.69,29,
14,Red Bull,Verstappen,2.76,33,
15,Alfa Romeo,Zhou,2.89,33,
16,Alfa Romeo,Zhou,2.92,24,
17,AlphaTauri,Tsunoda,3.11,32,
18,Mercedes,Hamilton,3.22,33,
19,Alfa Romeo,Bottas,3.35,32,
20,Williams,Albon,3.54,32,
21,Mercedes,Russell,3.95,28,
22,Haas,Hulkenberg,4.09,32,
23,Alfa Romeo,Zhou,8.27,36,
24,Haas,Hulkenberg,16.16,7,
