Pos.,Team,Driver,Time (sec),Lap,Points
1,Red Bull,Perez,2.07,27,25
2,Red Bull,Perez,2.26,50,
3,Red Bull,Verstappen,2.28,26,18
4,Alpine,Ocon,2.34,13,15
5,McLaren,Norris,2.40,50,12
6,Ferrari,Leclerc,2.46,16,10
7,AlphaTauri,Tsunoda,2.51,34,8
8,McLaren,Piastri,2.55,17,6
9,Haas,Magnussen,2.60,10,4
10,Mercedes,Russell,2.61,45,2
11,Mercedes,Russell,2.65,25,
12,Red Bull,Verstappen,2.65,52,
13,Aston Martin,Stroll,2.68,14,1
14,Williams,Sargeant,2.70,17,
15,Aston Martin,Alonso,2.74,19,
16,Aston Martin,Alonso,2.74,44,
17,AlphaTauri,Tsunoda,2.76,10,
18,AlphaTauri,De Vries,2.88,38,
19,Haas,Hulkenberg,2.89,8,
20,Ferrari,Sainz,2.97,45,
21,AlphaTauri,De Vries,3.02,9,
22,Mercedes,Hamilton,3.07,24,
23,McLaren,Piastri,3.12,39,
24,Ferrari,Sainz,3.14,41,
25,McLaren,Norris,3.20,22,
26,Haas,Magnussen,3.24,42,
27,Aston Martin,Stroll,3.35,34,
28,Ferrari,Leclerc,3.36,41,
29,Mercedes,Hamilton,3.45,50,
30,Williams,Albon,3.51,16,
31,Alfa Romeo,Zhou,3.71,9,
32,Alfa Romeo,Zhou,3.76,36,
33,Haas,Hulkenberg,3.78,26,
34,Williams,Albon,3.90,37,
35,Alpine,Gasly,3.94,19,
36,Williams,Sargeant,4.01,36,
37,Alfa Romeo,Bottas,4.06,39,
38,Alpine,Ocon,4.28,35,
39,Alfa Romeo,Bottas,4.31,5,
40,Haas,Magnussen,5.01,24,
41,Haas,Hulkenberg,5.03,43,
42,Alpine,Gasly,5.04,39,
43,McLaren,Norris,17.69,1,
