pitstopId,Team,Driver,Time,Lap,constructorId,team,driverId,number,code,surname,Country
28,Alfa Romeo,Bottas,3.21,29,51,Alfa Romeo,822,77,BOT,Bottas,Bahrain
32,Alfa Romeo,Zhou,3.5,32,51,Alfa Romeo,855,24,ZHO,Zhou,Bahrain
38,Alfa Romeo,Zhou,3.84,12,51,Alfa Romeo,855,24,ZHO,Zhou,Bahrain
41,Alfa Romeo,Zhou,8.38,54,51,Alfa Romeo,855,24,ZHO,Zhou,Bahrain
18,Alfa Romeo,Bottas,2.81,11,51,Alfa Romeo,822,77,BOT,Bottas,Bahrain
22,AlphaTauri,de Vries,2.98,11,213,AlphaTauri,856,21,DEV,de Vries,Bahrain
21,AlphaTauri,de Vries,2.96,27,213,AlphaTauri,856,21,DEV,de Vries,Bahrain
39,AlphaTauri,Tsunoda,4.22,40,213,AlphaTauri,852,22,TSU,Tsunoda,Bahrain
11,AlphaTauri,Tsunoda,2.62,26,213,AlphaTauri,852,22,TSU,Tsunoda,Bahrain
31,AlphaTauri,Tsunoda,3.46,10,213,AlphaTauri,852,22,TSU,Tsunoda,Bahrain
37,Alpine,Gasly,3.79,9,214,Alpine,842,10,GAS,Gasly,Bahrain
19,Alpine,Gasly,2.88,25,214,Alpine,842,10,GAS,Gasly,Bahrain
17,Alpine,Gasly,2.8,40,214,Alpine,842,10,GAS,Gasly,Bahrain
51,Alpine,Ocon,22.04,32,214,Alpine,839,31,OCO,Ocon,Bahrain
50,Alpine,Ocon,19.59,15,214,Alpine,839,31,OCO,Ocon,Bahrain
45,Alpine,Ocon,10.95,0,214,Alpine,839,31,OCO,Ocon,Bahrain
15,Alpine,Ocon,2.76,12,214,Alpine,839,31,OCO,Ocon,Bahrain
7,Aston Martin,Stroll,2.48,30,117,Aston Martin,840,18,STR,Stroll,Bahrain
26,Aston Martin,Stroll,3.18,15,117,Aston Martin,840,18,STR,Stroll,Bahrain
12,Aston Martin,Alonso,2.64,34,117,Aston Martin,4,14,ALO,Alonso,Bahrain
33,Aston Martin,Alonso,3.5,14,117,Aston Martin,4,14,ALO,Alonso,Bahrain
1,Ferrari,Leclerc,2.22,13,6,Ferrari,844,16,LEC,Leclerc,Bahrain
20,Ferrari,Leclerc,2.96,33,6,Ferrari,844,16,LEC,Leclerc,Bahrain
3,Ferrari,Sainz,2.31,31,6,Ferrari,832,55,SAI,Sainz,Bahrain
4,Ferrari,Sainz,2.36,13,6,Ferrari,832,55,SAI,Sainz,Bahrain
35,Haas,Hulkenberg,3.61,11,210,Haas,807,27,HUL,Hulkenberg,Bahrain
49,Haas,Hulkenberg,15.39,26,210,Haas,807,27,HUL,Hulkenberg,Bahrain
27,Haas,Magnussen,3.2,29,210,Haas,825,20,MAG,Magnussen,Bahrain
30,Haas,Hulkenberg,3.36,40,210,Haas,807,27,HUL,Hulkenberg,Bahrain
23,Haas,Magnussen,3.07,40,210,Haas,825,20,MAG,Magnussen,Bahrain
25,Haas,Magnussen,3.15,15,210,Haas,825,20,MAG,Magnussen,Bahrain
47,McLaren,Norris,11.46,27,1,McLaren,846,4,NOR,Norris,Bahrain
46,McLaren,Norris,11.1,37,1,McLaren,846,4,NOR,Norris,Bahrain
44,McLaren,Norris,10.6,10,1,McLaren,846,4,NOR,Norris,Bahrain
43,McLaren,Norris,9.25,54,1,McLaren,846,4,NOR,Norris,Bahrain
42,McLaren,Norris,8.78,47,1,McLaren,846,4,NOR,Norris,Bahrain
52,McLaren,Piastri,42.57,0,1,McLaren,857,81,PIA,Piastri,Bahrain
48,McLaren,Norris,11.77,17,1,McLaren,846,4,NOR,Norris,Bahrain
40,Mercedes,Russell,5.04,13,131,Mercedes,847,63,RUS,Russell,Bahrain
10,Mercedes,Russell,2.55,31,131,Mercedes,847,63,RUS,Russell,Bahrain
9,Mercedes,Hamilton,2.53,30,131,Mercedes,1,44,HAM,Hamilton,Bahrain
5,Mercedes,Hamilton,2.4,12,131,Mercedes,1,44,HAM,Hamilton,Bahrain
14,Red Bull,Perez,2.74,34,9,Red Bull,815,11,PER,Perez,Bahrain
6,Red Bull,Perez,2.43,17,9,Red Bull,815,11,PER,Perez,Bahrain
8,Red Bull,Verstappen,2.5,36,9,Red Bull,830,33,VER,Verstappen,Bahrain
2,Red Bull,Verstappen,2.25,14,9,Red Bull,830,33,VER,Verstappen,Bahrain
29,Williams,Sargeant,3.21,40,3,Williams,858,2,SAR,Sargeant,Bahrain
24,Williams,Albon,3.1,11,3,Williams,848,23,ALB,Albon,Bahrain
16,Williams,Albon,2.78,26,3,Williams,848,23,ALB,Albon,Bahrain
13,Williams,Albon,2.64,40,3,Williams,848,23,ALB,Albon,Bahrain
36,Williams,Sargeant,3.65,12,3,Williams,858,2,SAR,Sargeant,Bahrain
34,Williams,Sargeant,3.57,30,3,Williams,858,2,SAR,Sargeant,Bahrain
