pitstopId,Team,Driver,Time,Lap,constructorId,team,driverId,number,code,surname,Country
17,Alfa Romeo,Bottas,2.92,36,51,Alfa Romeo,822,77,BOT,Bottas,Canada
30,Alfa Romeo,Zhou,6.34,32,51,Alfa Romeo,855,24,ZHO,Zhou,Canada
14,Alfa Romeo,Zhou,2.81,12,51,Alfa Romeo,855,24,ZHO,Zhou,Canada
6,AlphaTauri,Tsunoda,2.46,1,213,AlphaTauri,852,22,TSU,Tsunoda,Canada
31,AlphaTauri,Tsunoda,6.47,34,213,AlphaTauri,852,22,TSU,Tsunoda,Canada
32,Alpine,Gasly,6.6,10,214,Alpine,842,10,GAS,Gasly,Canada
19,Alpine,Gasly,2.98,33,214,Alpine,842,10,GAS,Gasly,Canada
9,Alpine,Ocon,2.58,36,214,Alpine,839,31,OCO,Ocon,Canada
18,Alpine,Ocon,2.96,12,214,Alpine,839,31,OCO,Ocon,Canada
4,Aston Martin,Alonso,2.34,12,117,Aston Martin,4,14,ALO,Alonso,Canada
11,Aston Martin,Alonso,2.67,41,117,Aston Martin,4,14,ALO,Alonso,Canada
8,Aston Martin,Stroll,2.48,11,117,Aston Martin,840,18,STR,Stroll,Canada
10,Aston Martin,Stroll,2.59,27,117,Aston Martin,840,18,STR,Stroll,Canada
20,Ferrari,Leclerc,2.99,39,6,Ferrari,844,16,LEC,Leclerc,Canada
15,Ferrari,Sainz,2.87,38,6,Ferrari,832,55,SAI,Sainz,Canada
24,Haas,Hulkenberg,3.23,11,210,Haas,807,27,HUL,Hulkenberg,Canada
21,Haas,Magnussen,3.01,53,210,Haas,825,20,MAG,Magnussen,Canada
23,Haas,Magnussen,3.19,35,210,Haas,825,20,MAG,Magnussen,Canada
22,Haas,Hulkenberg,3.12,31,210,Haas,807,27,HUL,Hulkenberg,Canada
29,McLaren,Norris,4.22,12,1,McLaren,846,4,NOR,Norris,Canada
7,McLaren,Norris,2.47,35,1,McLaren,846,4,NOR,Norris,Canada
5,McLaren,Piastri,2.41,37,1,McLaren,857,81,PIA,Piastri,Canada
26,McLaren,Piastri,3.3,12,1,McLaren,857,81,PIA,Piastri,Canada
12,Mercedes,Hamilton,2.77,40,131,Mercedes,1,44,HAM,Hamilton,Canada
25,Mercedes,Hamilton,3.26,12,131,Mercedes,1,44,HAM,Hamilton,Canada
33,Mercedes,Russell,64.16,12,131,Mercedes,847,63,RUS,Russell,Canada
1,Red Bull,Perez,2.23,68,9,Red Bull,815,11,PER,Perez,Canada
2,Red Bull,Verstappen,2.3,12,9,Red Bull,830,33,VER,Verstappen,Canada
3,Red Bull,Perez,2.31,37,9,Red Bull,815,11,PER,Perez,Canada
13,Red Bull,Verstappen,2.79,42,9,Red Bull,830,33,VER,Verstappen,Canada
27,Williams,Albon,3.69,12,3,Williams,848,23,ALB,Albon,Canada
