pitstopId,Team,Driver,Time,Lap,constructorId,team,driverId,number,code,surname,Country
12,Alfa Romeo,Bottas,2.89,15,51,Alfa Romeo,822,77,BOT,Bottas,Miami
14,Alfa Romeo,Zhou,3.02,31,51,Alfa Romeo,855,24,ZHO,Zhou,Miami
17,AlphaTauri,Tsunoda,3.32,36,213,AlphaTauri,852,22,TSU,Tsunoda,Miami
5,Alpine,Gasly,2.57,15,214,Alpine,842,10,GAS,Gasly,Miami
7,Alpine,Ocon,2.62,39,214,Alpine,839,31,OCO,Ocon,Miami
10,Aston Martin,Alonso,2.78,24,117,Aston Martin,4,14,ALO,Alonso,Miami
15,Aston Martin,Stroll,3.04,42,117,Aston Martin,840,18,STR,Stroll,Miami
6,Ferrari,Leclerc,2.61,17,6,Ferrari,844,16,LEC,Leclerc,Miami
1,Ferrari,Sainz,2.21,18,6,Ferrari,832,55,SAI,Sainz,Miami
11,Haas,Magnussen,2.79,14,210,Haas,825,20,MAG,Magnussen,Miami
13,Haas,Hulkenberg,2.99,33,210,Haas,807,27,HUL,Hulkenberg,Miami
19,McLaren,Norris,4.35,4,1,McLaren,846,4,NOR,Norris,Miami
3,McLaren,Piastri,2.31,5,1,McLaren,857,81,PIA,Piastri,Miami
4,Mercedes,Hamilton,2.52,37,131,Mercedes,1,44,HAM,Hamilton,Miami
9,Mercedes,Russell,2.71,17,131,Mercedes,847,63,RUS,Russell,Miami
16,Red Bull,Verstappen,3.13,45,9,Red Bull,830,33,VER,Verstappen,Miami
2,Red Bull,Perez,2.27,20,9,Red Bull,815,11,PER,Perez,Miami
8,Williams,Albon,2.64,22,3,Williams,848,23,ALB,Albon,Miami
20,Williams,Sargeant,28.71,2,3,Williams,858,2,SAR,Sargeant,Miami
