pitstopId,Team,Driver,Time,Lap,constructorId,team,driverId,number,code,surname,Country
19,Alfa Romeo,Bottas,3.35,32,51,Alfa Romeo,822,77,BOT,Bottas,Silverstone
23,Alfa Romeo,Zhou,8.27,36,51,Alfa Romeo,855,24,ZHO,Zhou,Silverstone
16,Alfa Romeo,Zhou,2.92,24,51,Alfa Romeo,855,24,ZHO,Zhou,Silverstone
15,Alfa Romeo,Zhou,2.89,33,51,Alfa Romeo,855,24,ZHO,Zhou,Silverstone
9,AlphaTauri,de Vries,2.48,27,213,AlphaTauri,856,21,DEV,de Vries,Silverstone
8,AlphaTauri,de Vries,2.46,32,213,AlphaTauri,856,21,DEV,de Vries,Silverstone
11,AlphaTauri,Tsunoda,2.6,14,213,AlphaTauri,852,22,TSU,Tsunoda,Silverstone
17,AlphaTauri,Tsunoda,3.11,32,213,AlphaTauri,852,22,TSU,Tsunoda,Silverstone
4,Alpine,Gasly,2.37,31,214,Alpine,842,10,GAS,Gasly,Silverstone
3,Aston Martin,Stroll,2.35,31,117,Aston Martin,840,18,STR,Stroll,Silverstone
12,Aston Martin,Alonso,2.67,33,117,Aston Martin,4,14,ALO,Alonso,Silverstone
2,Ferrari,Leclerc,2.32,18,6,Ferrari,844,16,LEC,Leclerc,Silverstone
10,Ferrari,Leclerc,2.57,32,6,Ferrari,844,16,LEC,Leclerc,Silverstone
5,Ferrari,Sainz,2.41,26,6,Ferrari,832,55,SAI,Sainz,Silverstone
24,Haas,Hulkenberg,16.16,7,210,Haas,807,27,HUL,Hulkenberg,Silverstone
22,Haas,Hulkenberg,4.09,32,210,Haas,807,27,HUL,Hulkenberg,Silverstone
7,McLaren,Piastri,2.42,29,1,McLaren,857,81,PIA,Piastri,Silverstone
1,McLaren,Norris,2.23,33,1,McLaren,846,4,NOR,Norris,Silverstone
18,Mercedes,Hamilton,3.22,33,131,Mercedes,1,44,HAM,Hamilton,Silverstone
21,Mercedes,Russell,3.95,28,131,Mercedes,847,63,RUS,Russell,Silverstone
14,Red Bull,Verstappen,2.76,33,9,Red Bull,830,33,VER,Verstappen,Silverstone
6,Red Bull,Perez,2.42,28,9,Red Bull,815,11,PER,Perez,Silverstone
20,Williams,Albon,3.54,32,3,Williams,848,23,ALB,Albon,Silverstone
13,Williams,Sargeant,2.69,29,3,Williams,858,2,SAR,Sargeant,Silverstone
