pitstopId,Team,Driver,Time,Lap,constructorId,team,driverId,number,code,surname,Country
39,Alfa Romeo,Bottas,4.31,5,51,Alfa Romeo,822,77,BOT,Bottas,Spain
31,Alfa Romeo,Zhou,3.71,9,51,Alfa Romeo,855,24,ZHO,Zhou,Spain
37,Alfa Romeo,Bottas,4.06,39,51,Alfa Romeo,822,77,BOT,Bottas,Spain
32,Alfa Romeo,Zhou,3.76,36,51,Alfa Romeo,855,24,ZHO,Zhou,Spain
17,AlphaTauri,Tsunoda,2.76,10,213,AlphaTauri,852,22,TSU,Tsunoda,Spain
7,AlphaTauri,Tsunoda,2.51,34,213,AlphaTauri,852,22,TSU,Tsunoda,Spain
4,Alpine,Ocon,2.34,13,214,Alpine,839,31,OCO,Ocon,Spain
38,Alpine,Ocon,4.28,35,214,Alpine,839,31,OCO,Ocon,Spain
35,Alpine,Gasly,3.94,19,214,Alpine,842,10,GAS,Gasly,Spain
42,Alpine,Gasly,5.04,39,214,Alpine,842,10,GAS,Gasly,Spain
16,Aston Martin,Alonso,2.74,44,117,Aston Martin,4,14,ALO,Alonso,Spain
13,Aston Martin,Stroll,2.68,14,117,Aston Martin,840,18,STR,Stroll,Spain
27,Aston Martin,Stroll,3.35,34,117,Aston Martin,840,18,STR,Stroll,Spain
15,Aston Martin,Alonso,2.74,19,117,Aston Martin,4,14,ALO,Alonso,Spain
6,Ferrari,Leclerc,2.46,16,6,Ferrari,844,16,LEC,Leclerc,Spain
28,Ferrari,Leclerc,3.36,41,6,Ferrari,844,16,LEC,Leclerc,Spain
20,Ferrari,Sainz,2.97,45,6,Ferrari,832,55,SAI,Sainz,Spain
24,Ferrari,Sainz,3.14,41,6,Ferrari,832,55,SAI,Sainz,Spain
33,Haas,Hulkenberg,3.78,26,210,Haas,807,27,HUL,Hulkenberg,Spain
19,Haas,Hulkenberg,2.89,8,210,Haas,807,27,HUL,Hulkenberg,Spain
41,Haas,Hulkenberg,5.03,43,210,Haas,807,27,HUL,Hulkenberg,Spain
26,Haas,Magnussen,3.24,42,210,Haas,825,20,MAG,Magnussen,Spain
9,Haas,Magnussen,2.6,10,210,Haas,825,20,MAG,Magnussen,Spain
40,Haas,Magnussen,5.01,24,210,Haas,825,20,MAG,Magnussen,Spain
25,McLaren,Norris,3.2,22,1,McLaren,846,4,NOR,Norris,Spain
43,McLaren,Norris,17.69,1,1,McLaren,846,4,NOR,Norris,Spain
5,McLaren,Norris,2.4,50,1,McLaren,846,4,NOR,Norris,Spain
8,McLaren,Piastri,2.55,17,1,McLaren,857,81,PIA,Piastri,Spain
23,McLaren,Piastri,3.12,39,1,McLaren,857,81,PIA,Piastri,Spain
22,Mercedes,Hamilton,3.07,24,131,Mercedes,1,44,HAM,Hamilton,Spain
29,Mercedes,Hamilton,3.45,50,131,Mercedes,1,44,HAM,Hamilton,Spain
10,Mercedes,Russell,2.61,45,131,Mercedes,847,63,RUS,Russell,Spain
11,Mercedes,Russell,2.65,25,131,Mercedes,847,63,RUS,Russell,Spain
12,Red Bull,Verstappen,2.65,52,9,Red Bull,830,33,VER,Verstappen,Spain
3,Red Bull,Verstappen,2.28,26,9,Red Bull,830,33,VER,Verstappen,Spain
2,Red Bull,Perez,2.26,50,9,Red Bull,815,11,PER,Perez,Spain
1,Red Bull,Perez,2.07,27,9,Red Bull,815,11,PER,Perez,Spain
14,Williams,Sargeant,2.7,17,3,Williams,858,2,SAR,Sargeant,Spain
36,Williams,Sargeant,4.01,36,3,Williams,858,2,SAR,Sargeant,Spain
30,Williams,Albon,3.51,16,3,Williams,848,23,ALB,Albon,Spain
34,Williams,Albon,3.9,37,3,Williams,848,23,ALB,Albon,Spain
